Period,Greenhouse gas emissions,Temperature adjusted greenhouse gas emissions
2009-Q1,641.1527,640.2886
2009-Q2,621.9331,622.2366
2009-Q3,609.7538,611.2551
2009-Q4,594.3045,599.9117
2010-Q1,593.3392,592.2344
2010-Q2,595.6231,591.9161
2010-Q3,596.8973,592.2836
2010-Q4,608.5764,591.8286
2011-Q1,597.6966,591.2547
2011-Q2,587.949,587.2043
2011-Q3,582.7449,582.1779
2011-Q4,562.8292,581.7897
2012-Q1,560.2154,581.6879
2012-Q2,570.2083,582.8479
2012-Q3,571.4405,581.9505
2012-Q4,579.2779,579.2154
2013-Q1,584.0831,570.9653
2013-Q2,581.1444,567.6908
2013-Q3,577.1537,566.1911
2013-Q4,565.6222,561.5264
2014-Q1,549.9244,560.5186
2014-Q2,538.6032,557.9331
2014-Q3,532.002,551.7703
2014-Q4,525.2354,546.5021
2015-Q1,526.4187,541.2938
2015-Q2,522.2652,531.2948
2015-Q3,518.7499,524.5993
2015-Q4,507.9112,519.8259
2016-Q1,495.9538,510.1722
2016-Q2,489.9035,505.095
2016-Q3,482.0426,501.4427
2016-Q4,483.0629,491.676
2017-Q1,478.3389,490.3208
2017-Q2,473.3512,488.8755
2017-Q3,472.837,486.0575
2017-Q4,471.646,486.7114
2018-Q1,473.149,479.1672
2018-Q2,471.9331,479.3534
2018-Q3,470.1004,477.5981
2018-Q4,463.4632,473.0598
2019-Q1,452.2777,470.82
2019-Q2,451.9757,465.427
2019-Q3,449.7117,464.6481
2019-Q4,447.8774,457.9233
2020-Q1,443.9608,455.5226
2020-Q2,422.5502,438.7704
2020-Q3,414.5413,428.5379
2020-Q4,405.5136,422.3979
2021-Q1,400.7198,410.9895
2021-Q2,418.4802,419.9718
2021-Q3,423.5771,428.6137
2021-Q4,424.5257,432.5725